id,project_reference,academic_year,mobility_start_month,mobility_end_month,mobility_duration,activity_mob,participant_nationality,participant_gender,participant_profile,special_needs,fewer_opportunities,group_leader,participant_age,sending_country_code,sending_city,sending_organization,receiving_country_code,receiving_city,receiving_organization
1474,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Female,Learner,No,No,No,16,DE,Hamburg,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1475,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Female,Learner,No,No,No,16,DE,Ingolstadt,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1476,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Female,Learner,No,No,No,16,DE,Koblenz,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1477,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Female,Learner,No,No,No,16,DE,Schwerin,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1478,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Female,Learner,No,No,No,17,DE,Halle,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1479,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Female,Learner,No,No,No,17,DE,Koblenz,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1480,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Female,Learner,No,No,No,17,DE,Leipzig,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1481,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,16,DE,Berlin,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1482,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,16,DE,Bonn,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1483,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,16,DE,Erfurt,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1484,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,16,DE,Kiel,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1485,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,16,DE,Potsdam,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1486,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,16,DE,Wadern,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1487,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,16,DE,Wiesbaden,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1488,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,17,DE,Bremen,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1489,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,17,DE,Hamburg,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1490,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,17,DE,Hannover,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1491,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,17,DE,Stuttgart,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1492,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,No,No,50,DE,Berlin,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1493,2014-1-DE04-KA347-000858,2015-2016,2015-01,2015-01,3,National youth meetings,DE,Male,Learner,No,Yes,No,17,DE,Wiesbaden,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1494,2014-1-DE04-KA347-000858,2015-2016,2015-02,2015-02,6,National youth meetings,DE,Female,Learner,No,No,No,14,DE,Berlin,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
1495,2014-1-DE04-KA347-000858,2015-2016,2015-02,2015-02,6,National youth meetings,DE,Female,Learner,No,No,No,15,DE,Berlin,Modell Europa Parlament Deutschland e.V.,DE,Berlin,Modell Europa Parlament Deutschland e.V.
